year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude
1970,11,23,19,25,13.0,32.4,104.1,0,ML,2.4
1970,11,24,5,25,43.0,30.75,103.4,0,ML,2.8
1970,11,30,15,41,30.0,31.8,104.1,0,ML,2.9
1970,12,4,13,59,54.0,32.6,105.7,0,ML,2.5
1970,12,4,14,59,53.8,32.47,105.75,0,ML,3.0
1970,12,5,11,23,24.0,30.68,103.0,0,ML,2.3
1970,12,17,20,18,56.0,31.4,103.0,0,ML,2.2
1970,12,22,17,37,46.0,32.2,104.1,0,ML,1.8
1970,12,23,4,10,1.0,31.3,103.0,0,ML,2.1
1971,1,1,3,54,39.0,32.3,103.8,0,ML,2.0
1971,1,12,6,57,43.0,31.38,103.0,0,ML,2.7
1971,1,16,21,6,9.0,31.47,103.1,30,ML,3.0
1971,1,17,1,30,48.0,32.0,103.6,0,ML,1.7
1971,1,18,0,16,7.0,31.1,103.0,0,ML,1.9
1971,1,22,23,56,42.0,31.4,103.0,0,ML,2.5
1971,1,26,21,23,54.0,33.0,104.5,0,ML,2.3
1971,1,29,7,29,11.0,31.0,103.93,16,ML,2.4
1971,2,14,16,41,0.0,32.9,103.5,0,ML,3.0
1971,2,21,19,53,47.0,32.8,103.3,0,ML,2.0
1971,2,23,0,50,7.0,31.3,104.1,0,ML,2.1
1971,2,27,17,14,57.0,31.3,103.1,0,ML,2.1
1971,3,9,5,13,6.0,31.27,103.0,0,ML,2.3
1971,3,12,4,26,20.0,30.58,103.27,0,ML,2.2
1971,3,16,13,42,43.0,31.3,103.3,0,ML,2.0
1971,3,16,22,19,12.0,32.3,103.7,0,ML,2.3
1971,3,18,12,0,33.7,32.77,105.3,0,ML,2.5
1971,3,28,20,19,14.0,31.2,103.95,0,ML,2.5
1971,4,7,0,30,34.0,30.95,103.75,0,ML,2.0
1971,4,10,8,17,38.0,30.83,103.4,5,ML,2.2
1971,4,15,8,50,19.0,32.3,103.7,0,ML,3.2
1971,4,17,20,15,20.0,31.6,104.4,0,ML,2.4
1971,4,18,2,9,25.0,31.0,103.38,8,ML,3.0
1971,4,18,6,3,4.0,31.07,103.85,0,ML,2.3
1971,5,4,10,54,35.0,32.3,103.3,0,ML,2.5
1971,5,4,15,52,23.0,32.3,103.5,0,ML,2.9
1971,5,17,17,7,34.7,32.77,105.22,0,ML,2.1
1971,5,22,0,19,15.0,32.25,103.4,0,ML,2.6
1971,5,24,16,38,53.0,31.0,103.47,25,ML,2.2
1971,6,3,17,11,52.0,30.6,103.02,42,ML,2.8
1971,6,3,20,55,23.0,30.5,104.5,0,ML,2.5
1971,6,5,8,4,52.0,31.1,104.62,0,ML,3.2
1971,6,5,23,18,7.0,32.33,103.6,0,ML,2.5
1971,6,9,3,21,52.0,31.2,103.7,0,ML,1.9
1971,6,9,3,22,23.0,31.2,103.7,0,ML,2.4
1971,6,11,18,18,30.0,31.82,104.32,0,ML,3.2
1971,6,12,23,17,41.0,31.27,103.38,42,ML,2.7
1971,6,15,5,29,44.0,32.3,103.6,0,ML,2.2
1971,6,23,2,45,24.0,32.9,104.3,0,ML,3.0
1971,6,25,21,5,52.0,30.87,103.52,18,ML,2.1
1971,6,26,19,42,54.0,32.6,103.5,0,ML,2.4
1971,7,1,15,31,49.0,32.2,105.33,0,ML,2.4
1971,7,1,17,0,9.0,32.2,105.33,0,ML,2.4
1971,7,12,4,39,54.0,33.0,104.9,0,ML,2.1
1971,7,15,21,3,47.0,32.1,103.1,0,ML,2.7
1971,7,22,12,45,13.0,31.2,103.9,0,ML,2.2
1971,8,1,0,50,53.0,30.73,104.6,18,ML,3.1
1971,8,26,10,0,12.0,31.7,104.2,0,ML,3.0
1971,9,2,18,1,57.0,30.8,103.2,0,ML,2.0
1971,9,4,0,37,48.0,32.83,104.45,0,ML,2.6
1971,9,4,12,17,58.0,32.4,103.9,0,ML,2.3
1971,9,5,3,24,10.0,32.5,103.9,0,ML,2.2
1971,9,10,13,27,26.0,32.4,103.9,0,ML,2.6
1971,9,17,18,40,42.0,32.4,103.8,0,ML,3.0
1971,9,18,0,50,37.0,32.5,103.8,0,ML,2.5
1971,9,23,12,8,57.0,32.45,103.82,0,ML,2.4
1971,9,23,15,38,48.0,30.5,104.9,0,ML,2.2
1971,9,23,17,9,50.0,32.4,103.8,0,ML,2.2
1971,10,5,11,8,20.0,30.9,103.0,0,ML,2.4
1971,10,12,13,43,57.0,32.4,103.7,0,ML,2.2
1971,10,13,23,31,33.0,32.5,104.2,0,ML,2.2
1971,10,27,20,47,21.0,31.8,104.5,0,ML,2.8
1971,10,28,15,53,25.0,32.0,103.9,0,ML,2.1
1971,10,29,12,42,0.0,32.67,104.2,0,ML,3.0
1971,10,29,14,0,10.5,32.7,104.2,20,ML,4.8
1971,11,13,17,36,54.0,32.1,105.0,0,ML,2.5
1971,11,15,23,14,54.0,30.9,104.2,0,ML,3.2
1971,11,19,7,40,12.0,30.6,103.0,0,ML,2.5
1971,11,26,2,26,4.0,31.0,103.83,0,ML,2.1
1971,11,26,5,8,3.0,30.88,103.85,0,ML,2.5
1971,11,27,2,22,44.0,31.0,103.83,0,ML,2.6
1971,11,28,0,26,21.0,32.3,104.6,0,ML,3.5
1971,12,28,1,12,0.0,30.97,103.77,0,ML,2.4
1972,1,4,4,2,8.8,32.92,104.38,0,ML,1.9
1972,1,8,0,15,52.0,31.5,103.0,0,ML,2.7
1972,1,14,0,0,45.0,30.6,103.0,0,ML,2.3
1972,1,16,1,54,5.0,31.4,104.2,0,ML,2.1
1972,1,19,18,45,50.0,31.8,103.3,0,ML,2.7
1972,1,22,23,19,55.0,31.7,103.9,0,ML,2.4
1972,1,26,8,50,56.0,31.1,104.8,0,ML,3.3
1972,1,31,4,41,41.0,32.0,103.4,0,ML,2.9
1972,2,4,18,14,39.0,32.0,103.3,0,ML,2.4
1972,2,5,22,19,1.0,30.7,103.0,0,ML,2.2
1972,2,12,14,1,48.6,31.97,105.15,0,ML,2.9
1972,2,24,0,46,4.0,31.1,103.3,0,ML,3.1
1972,2,24,13,20,13.0,31.2,103.8,0,ML,2.2
1972,3,1,6,57,0.0,31.9,104.8,0,ML,2.1
1972,3,1,21,34,18.0,31.9,104.9,0,ML,2.5
1972,3,7,9,20,54.8,31.95,105.33,0,ML,3.0
1972,3,11,0,9,46.6,31.97,104.33,0,ML,2.8
1972,3,12,2,30,0.0,30.67,103.0,36,ML,1.7
1972,3,18,9,24,9.0,32.0,103.5,0,ML,2.7
1972,3,20,15,24,8.2,32.07,103.83,0,ML,2.8
1972,3,20,17,13,1.8,32.57,103.08,0,ML,2.4
1972,3,21,15,45,35.0,31.77,105.45,0,ML,2.7
1972,3,22,2,23,45.0,32.97,104.58,0,ML,2.0
1972,3,22,16,9,19.1,31.87,104.58,0,ML,2.6
1972,3,28,12,14,0.0,32.0,103.4,0,ML,2.3
1972,3,31,13,17,0.0,30.6,103.0,26,ML,2.4
1972,4,1,23,31,16.9,31.68,105.05,0,ML,2.6
1972,4,6,1,29,0.0,30.52,103.3,0,ML,2.3
1972,4,7,13,22,12.0,30.7,103.0,0,ML,2.5
1972,4,10,9,8,2.0,31.92,104.37,0,ML,2.6
1972,4,10,12,15,0.0,31.9,104.3,0,ML,2.6
1972,4,19,11,30,6.0,31.5,103.9,0,ML,2.7
1972,4,21,23,21,0.0,31.5,103.8,0,ML,2.3
1972,4,28,18,18,39.0,30.97,103.33,0,ML,2.6
1972,5,13,14,31,22.0,31.52,103.85,0,ML,2.3
1972,5,13,14,31,36.0,31.52,103.85,0,ML,3.3
1972,5,16,7,58,1.9,31.73,104.25,0,ML,3.6
1972,5,17,2,21,48.0,31.5,103.7,0,ML,2.3
1972,5,24,11,45,55.4,32.68,104.25,0,ML,2.4
1972,5,25,17,18,31.0,31.0,103.4,0,ML,2.8
1972,6,18,10,56,50.0,30.92,103.62,0,ML,2.5
1972,7,8,8,53,35.4,33.0,104.48,0,ML,3.5
1972,7,31,8,1,48.0,33.0,104.58,0,ML,2.6
1972,8,2,13,5,0.0,32.2,103.1,0,ML,2.2
1972,8,5,20,19,16.0,30.65,103.03,0,ML,2.7
1972,8,15,23,46,46.0,32.2,103.4,0,ML,2.5
1972,8,17,15,8,56.2,32.22,105.13,0,ML,3.0
1972,8,30,5,23,43.0,31.7,104.0,0,ML,3.0
1972,9,2,6,25,33.0,32.17,103.43,30,ML,3.0
1972,9,3,1,9,25.0,31.9,103.5,0,ML,1.8
1972,9,10,16,50,28.0,31.95,103.42,0,ML,2.3
1972,9,11,14,16,3.0,31.0,103.35,0,ML,2.9
1972,9,22,7,38,33.0,31.1,103.9,0,ML,2.3
1972,9,22,11,40,21.0,30.68,103.5,18,ML,2.8
1972,9,24,3,5,41.0,30.57,103.5,0,ML,3.2
1972,10,4,0,55,6.0,32.3,103.6,0,ML,3.2
1972,10,5,22,39,47.0,32.08,103.5,45,ML,2.5
1972,10,9,22,48,33.0,31.8,103.8,0,ML,2.5
1972,10,12,2,22,33.0,31.9,103.67,24,ML,2.8
1972,10,13,20,45,32.0,30.5,103.2,0,ML,2.4
1972,10,18,9,41,26.0,30.62,103.0,20,ML,3.1
1972,11,22,17,51,59.0,31.6,104.4,0,ML,2.9
1972,11,28,12,31,40.0,30.9,103.7,0,ML,2.8
1972,12,22,13,8,18.0,32.1,103.0,0,ML,2.5
1972,12,25,11,35,9.0,30.8,103.2,0,ML,2.4
1973,1,3,7,31,20.0,31.6,103.5,0,ML,2.2
1973,1,3,8,55,35.0,31.6,103.5,0,ML,1.5
1973,1,27,18,26,54.0,32.0,105.2,0,ML,2.9
1973,1,29,23,58,18.0,32.2,103.5,0,ML,2.2
1973,2,9,6,53,19.5,32.18,104.83,0,ML,3.2
1973,2,9,6,53,20.0,32.3,104.5,0,ML,2.7
1973,2,14,7,8,4.0,31.5,104.1,0,ML,2.5
1973,2,14,20,2,45.0,30.9,103.38,25,ML,2.8
1973,2,21,20,54,13.0,32.9,103.5,0,ML,2.0
1973,3,4,21,41,59.0,32.0,104.2,0,ML,2.4
1973,3,22,13,58,7.0,30.6,103.0,0,ML,2.9
1973,4,9,8,53,37.0,32.6,104.1,0,ML,2.6
1973,4,22,1,59,12.0,30.8,103.4,0,ML,2.9
1973,4,27,10,59,57.0,31.0,103.2,0,ML,2.6
1973,5,4,10,41,24.0,31.5,103.5,0,ML,2.5
1973,5,8,18,1,30.0,32.88,104.08,12,Ms,5.1
1973,5,9,7,31,16.0,33.0,103.9,0,ML,2.5
1973,5,14,13,8,20.0,32.8,103.8,0,ML,2.2
1973,6,15,16,2,10.0,32.7,105.4,0,ML,2.5
1973,6,17,11,18,44.0,31.2,103.2,0,ML,2.6
1973,6,26,21,15,16.0,32.8,103.7,0,ML,2.1
1973,7,7,10,26,38.2,32.58,104.25,0,ML,2.3
1973,7,11,6,20,16.0,32.9,103.5,0,ML,2.3
1973,7,12,2,46,24.0,33.0,104.0,0,ML,2.5
1973,7,13,11,4,50.0,31.5,103.3,0,ML,2.2
1973,7,18,19,20,4.0,32.9,104.1,0,ML,2.8
1973,7,26,11,8,7.0,31.8,103.3,0,ML,2.0
1973,7,31,20,38,42.0,32.3,103.5,0,ML,2.9
1973,8,11,10,42,26.0,30.8,103.1,0,ML,2.4
1973,8,11,15,15,36.0,32.92,103.92,20,Ms,6.5
1973,8,11,15,29,8.0,32.9,104.0,0,ML,4.5
1973,8,11,15,52,56.0,32.9,103.92,0,ML,2.8
1973,8,11,15,58,3.0,32.9,103.97,0,ML,3.2
1973,8,11,16,5,17.0,32.92,103.93,0,ML,3.1
1973,8,11,16,15,22.0,32.88,103.93,0,ML,2.8
1973,8,11,16,21,47.0,32.9,103.9,0,ML,4.0
1973,8,11,16,31,48.0,32.8,103.9,0,ML,3.9
1973,8,11,17,21,10.0,32.8,103.9,0,ML,3.9
1973,8,11,17,51,50.0,33.0,103.9,0,ML,3.7
1973,8,11,18,7,45.0,32.9,103.9,0,ML,3.7
1973,8,11,18,14,38.0,32.9,103.92,0,ML,3.2
1973,8,11,18,20,7.0,32.9,103.93,0,ML,3.5
1973,8,11,18,38,23.0,32.88,104.07,0,ML,3.4
1973,8,11,19,3,3.0,32.9,103.9,0,ML,4.2
1973,8,11,19,35,31.0,33.0,103.9,0,ML,3.8
1973,8,11,20,29,50.0,32.8,104.05,0,ML,2.6
